alpha_resin,alpha_short,alpha_long,crossover_threshold,spread_margin,RAINFOREST_RESIN_PnL,KELP_PnL,Total_PnL
0.05,0.2,0.05,0.0,0.0,-49648.0,-2033.0,-51681.0
0.05,0.2,0.05,0.0,0.5,30350.0,-2033.0,28317.0
0.05,0.2,0.05,0.0,1.0,40350.0,-2033.0,38317.0
0.05,0.2,0.05,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.05,0.5,0.5,30350.0,0.0,30350.0
0.05,0.2,0.05,0.5,1.0,40350.0,0.0,40350.0
0.05,0.2,0.05,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.05,1.0,0.5,30350.0,0.0,30350.0
0.05,0.2,0.05,1.0,1.0,40350.0,0.0,40350.0
0.05,0.2,0.1,0.0,0.0,-49648.0,-2036.0,-51684.0
0.05,0.2,0.1,0.0,0.5,30350.0,-2036.0,28314.0
0.05,0.2,0.1,0.0,1.0,40350.0,-2036.0,38314.0
0.05,0.2,0.1,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.1,0.5,0.5,30350.0,0.0,30350.0
0.05,0.2,0.1,0.5,1.0,40350.0,0.0,40350.0
0.05,0.2,0.1,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.1,1.0,0.5,30350.0,0.0,30350.0
0.05,0.2,0.1,1.0,1.0,40350.0,0.0,40350.0
0.05,0.2,0.15,0.0,0.0,-49648.0,-4072.0,-53720.0
0.05,0.2,0.15,0.0,0.5,30350.0,-4072.0,26278.0
0.05,0.2,0.15,0.0,1.0,40350.0,-4072.0,36278.0
0.05,0.2,0.15,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.15,0.5,0.5,30350.0,0.0,30350.0
0.05,0.2,0.15,0.5,1.0,40350.0,0.0,40350.0
0.05,0.2,0.15,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.2,0.15,1.0,0.5,30350.0,0.0,30350.0
0.05,0.2,0.15,1.0,1.0,40350.0,0.0,40350.0
0.05,0.3,0.05,0.0,0.0,-49648.0,-4071.0,-53719.0
0.05,0.3,0.05,0.0,0.5,30350.0,-4071.0,26279.0
0.05,0.3,0.05,0.0,1.0,40350.0,-4071.0,36279.0
0.05,0.3,0.05,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.05,0.5,0.5,30350.0,0.0,30350.0
0.05,0.3,0.05,0.5,1.0,40350.0,0.0,40350.0
0.05,0.3,0.05,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.05,1.0,0.5,30350.0,0.0,30350.0
0.05,0.3,0.05,1.0,1.0,40350.0,0.0,40350.0
0.05,0.3,0.1,0.0,0.0,-49648.0,-4072.0,-53720.0
0.05,0.3,0.1,0.0,0.5,30350.0,-4072.0,26278.0
0.05,0.3,0.1,0.0,1.0,40350.0,-4072.0,36278.0
0.05,0.3,0.1,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.1,0.5,0.5,30350.0,0.0,30350.0
0.05,0.3,0.1,0.5,1.0,40350.0,0.0,40350.0
0.05,0.3,0.1,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.1,1.0,0.5,30350.0,0.0,30350.0
0.05,0.3,0.1,1.0,1.0,40350.0,0.0,40350.0
0.05,0.3,0.15,0.0,0.0,-49648.0,-3.0,-49651.0
0.05,0.3,0.15,0.0,0.5,30350.0,-3.0,30347.0
0.05,0.3,0.15,0.0,1.0,40350.0,-3.0,40347.0
0.05,0.3,0.15,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.15,0.5,0.5,30350.0,0.0,30350.0
0.05,0.3,0.15,0.5,1.0,40350.0,0.0,40350.0
0.05,0.3,0.15,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.3,0.15,1.0,0.5,30350.0,0.0,30350.0
0.05,0.3,0.15,1.0,1.0,40350.0,0.0,40350.0
0.05,0.4,0.05,0.0,0.0,-49648.0,-6107.0,-55755.0
0.05,0.4,0.05,0.0,0.5,30350.0,-6107.0,24243.0
0.05,0.4,0.05,0.0,1.0,40350.0,-6107.0,34243.0
0.05,0.4,0.05,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.05,0.5,0.5,30350.0,0.0,30350.0
0.05,0.4,0.05,0.5,1.0,40350.0,0.0,40350.0
0.05,0.4,0.05,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.05,1.0,0.5,30350.0,0.0,30350.0
0.05,0.4,0.05,1.0,1.0,40350.0,0.0,40350.0
0.05,0.4,0.1,0.0,0.0,-49648.0,-2037.0,-51685.0
0.05,0.4,0.1,0.0,0.5,30350.0,-2037.0,28313.0
0.05,0.4,0.1,0.0,1.0,40350.0,-2037.0,38313.0
0.05,0.4,0.1,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.1,0.5,0.5,30350.0,0.0,30350.0
0.05,0.4,0.1,0.5,1.0,40350.0,0.0,40350.0
0.05,0.4,0.1,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.1,1.0,0.5,30350.0,0.0,30350.0
0.05,0.4,0.1,1.0,1.0,40350.0,0.0,40350.0
0.05,0.4,0.15,0.0,0.0,-49648.0,-1.0,-49649.0
0.05,0.4,0.15,0.0,0.5,30350.0,-1.0,30349.0
0.05,0.4,0.15,0.0,1.0,40350.0,-1.0,40349.0
0.05,0.4,0.15,0.5,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.15,0.5,0.5,30350.0,0.0,30350.0
0.05,0.4,0.15,0.5,1.0,40350.0,0.0,40350.0
0.05,0.4,0.15,1.0,0.0,-49648.0,0.0,-49648.0
0.05,0.4,0.15,1.0,0.5,30350.0,0.0,30350.0
0.05,0.4,0.15,1.0,1.0,40350.0,0.0,40350.0
0.1,0.2,0.05,0.0,0.0,352.0,-2033.0,-1681.0
0.1,0.2,0.05,0.0,0.5,-9650.0,-2033.0,-11683.0
0.1,0.2,0.05,0.0,1.0,30348.0,-2033.0,28315.0
0.1,0.2,0.05,0.5,0.0,352.0,0.0,352.0
0.1,0.2,0.05,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.05,0.5,1.0,30348.0,0.0,30348.0
0.1,0.2,0.05,1.0,0.0,352.0,0.0,352.0
0.1,0.2,0.05,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.05,1.0,1.0,30348.0,0.0,30348.0
0.1,0.2,0.1,0.0,0.0,352.0,-2036.0,-1684.0
0.1,0.2,0.1,0.0,0.5,-9650.0,-2036.0,-11686.0
0.1,0.2,0.1,0.0,1.0,30348.0,-2036.0,28312.0
0.1,0.2,0.1,0.5,0.0,352.0,0.0,352.0
0.1,0.2,0.1,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.1,0.5,1.0,30348.0,0.0,30348.0
0.1,0.2,0.1,1.0,0.0,352.0,0.0,352.0
0.1,0.2,0.1,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.1,1.0,1.0,30348.0,0.0,30348.0
0.1,0.2,0.15,0.0,0.0,352.0,-4072.0,-3720.0
0.1,0.2,0.15,0.0,0.5,-9650.0,-4072.0,-13722.0
0.1,0.2,0.15,0.0,1.0,30348.0,-4072.0,26276.0
0.1,0.2,0.15,0.5,0.0,352.0,0.0,352.0
0.1,0.2,0.15,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.15,0.5,1.0,30348.0,0.0,30348.0
0.1,0.2,0.15,1.0,0.0,352.0,0.0,352.0
0.1,0.2,0.15,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.2,0.15,1.0,1.0,30348.0,0.0,30348.0
0.1,0.3,0.05,0.0,0.0,352.0,-4071.0,-3719.0
0.1,0.3,0.05,0.0,0.5,-9650.0,-4071.0,-13721.0
0.1,0.3,0.05,0.0,1.0,30348.0,-4071.0,26277.0
0.1,0.3,0.05,0.5,0.0,352.0,0.0,352.0
0.1,0.3,0.05,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.05,0.5,1.0,30348.0,0.0,30348.0
0.1,0.3,0.05,1.0,0.0,352.0,0.0,352.0
0.1,0.3,0.05,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.05,1.0,1.0,30348.0,0.0,30348.0
0.1,0.3,0.1,0.0,0.0,352.0,-4072.0,-3720.0
0.1,0.3,0.1,0.0,0.5,-9650.0,-4072.0,-13722.0
0.1,0.3,0.1,0.0,1.0,30348.0,-4072.0,26276.0
0.1,0.3,0.1,0.5,0.0,352.0,0.0,352.0
0.1,0.3,0.1,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.1,0.5,1.0,30348.0,0.0,30348.0
0.1,0.3,0.1,1.0,0.0,352.0,0.0,352.0
0.1,0.3,0.1,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.1,1.0,1.0,30348.0,0.0,30348.0
0.1,0.3,0.15,0.0,0.0,352.0,-3.0,349.0
0.1,0.3,0.15,0.0,0.5,-9650.0,-3.0,-9653.0
0.1,0.3,0.15,0.0,1.0,30348.0,-3.0,30345.0
0.1,0.3,0.15,0.5,0.0,352.0,0.0,352.0
0.1,0.3,0.15,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.15,0.5,1.0,30348.0,0.0,30348.0
0.1,0.3,0.15,1.0,0.0,352.0,0.0,352.0
0.1,0.3,0.15,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.3,0.15,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.05,0.0,0.0,352.0,-6107.0,-5755.0
0.1,0.4,0.05,0.0,0.5,-9650.0,-6107.0,-15757.0
0.1,0.4,0.05,0.0,1.0,30348.0,-6107.0,24241.0
0.1,0.4,0.05,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.05,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.05,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.05,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.05,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.05,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.1,0.0,0.0,352.0,-2037.0,-1685.0
0.1,0.4,0.1,0.0,0.5,-9650.0,-2037.0,-11687.0
0.1,0.4,0.1,0.0,1.0,30348.0,-2037.0,28311.0
0.1,0.4,0.1,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.1,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.1,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.1,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.1,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.1,1.0,1.0,30348.0,0.0,30348.0
0.1,0.4,0.15,0.0,0.0,352.0,-1.0,351.0
0.1,0.4,0.15,0.0,0.5,-9650.0,-1.0,-9651.0
0.1,0.4,0.15,0.0,1.0,30348.0,-1.0,30347.0
0.1,0.4,0.15,0.5,0.0,352.0,0.0,352.0
0.1,0.4,0.15,0.5,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.15,0.5,1.0,30348.0,0.0,30348.0
0.1,0.4,0.15,1.0,0.0,352.0,0.0,352.0
0.1,0.4,0.15,1.0,0.5,-9650.0,0.0,-9650.0
0.1,0.4,0.15,1.0,1.0,30348.0,0.0,30348.0
0.2,0.2,0.05,0.0,0.0,-19648.0,-2033.0,-21681.0
0.2,0.2,0.05,0.0,0.5,-19652.0,-2033.0,-21685.0
0.2,0.2,0.05,0.0,1.0,10334.0,-2033.0,8301.0
0.2,0.2,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.05,0.5,1.0,10334.0,0.0,10334.0
0.2,0.2,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.2,0.1,0.0,0.0,-19648.0,-2036.0,-21684.0
0.2,0.2,0.1,0.0,0.5,-19652.0,-2036.0,-21688.0
0.2,0.2,0.1,0.0,1.0,10334.0,-2036.0,8298.0
0.2,0.2,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.2,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.2,0.15,0.0,0.0,-19648.0,-4072.0,-23720.0
0.2,0.2,0.15,0.0,0.5,-19652.0,-4072.0,-23724.0
0.2,0.2,0.15,0.0,1.0,10334.0,-4072.0,6262.0
0.2,0.2,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.2,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.2,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.2,0.15,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.05,0.0,0.0,-19648.0,-4071.0,-23719.0
0.2,0.3,0.05,0.0,0.5,-19652.0,-4071.0,-23723.0
0.2,0.3,0.05,0.0,1.0,10334.0,-4071.0,6263.0
0.2,0.3,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.05,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.1,0.0,0.0,-19648.0,-4072.0,-23720.0
0.2,0.3,0.1,0.0,0.5,-19652.0,-4072.0,-23724.0
0.2,0.3,0.1,0.0,1.0,10334.0,-4072.0,6262.0
0.2,0.3,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.3,0.15,0.0,0.0,-19648.0,-3.0,-19651.0
0.2,0.3,0.15,0.0,0.5,-19652.0,-3.0,-19655.0
0.2,0.3,0.15,0.0,1.0,10334.0,-3.0,10331.0
0.2,0.3,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.3,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.3,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.3,0.15,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.05,0.0,0.0,-19648.0,-6107.0,-25755.0
0.2,0.4,0.05,0.0,0.5,-19652.0,-6107.0,-25759.0
0.2,0.4,0.05,0.0,1.0,10334.0,-6107.0,4227.0
0.2,0.4,0.05,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.05,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.05,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.05,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.05,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.05,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.1,0.0,0.0,-19648.0,-2037.0,-21685.0
0.2,0.4,0.1,0.0,0.5,-19652.0,-2037.0,-21689.0
0.2,0.4,0.1,0.0,1.0,10334.0,-2037.0,8297.0
0.2,0.4,0.1,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.1,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.1,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.1,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.1,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.1,1.0,1.0,10334.0,0.0,10334.0
0.2,0.4,0.15,0.0,0.0,-19648.0,-1.0,-19649.0
0.2,0.4,0.15,0.0,0.5,-19652.0,-1.0,-19653.0
0.2,0.4,0.15,0.0,1.0,10334.0,-1.0,10333.0
0.2,0.4,0.15,0.5,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.15,0.5,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.15,0.5,1.0,10334.0,0.0,10334.0
0.2,0.4,0.15,1.0,0.0,-19648.0,0.0,-19648.0
0.2,0.4,0.15,1.0,0.5,-19652.0,0.0,-19652.0
0.2,0.4,0.15,1.0,1.0,10334.0,0.0,10334.0
